Produkt;Case;Box;Pack;Sklep;Waluta;Sezon;Producent;Typ karty;Typ boxa;Team;cena_box_PLN
2025/26 Topps UEFA Club Competitions Soccer Hanger;1 370,00;22,00;0,00;dacardworld;EUR;2025/2026;Topps;Club;Hanger;UEFA;93,50
2023/24 Panini Prizm Premier League EPL Soccer Blaster (Pink Mosaic Prizms!);0,00;22,00;0,00;dacardworld;EUR;2023/2024;Panini;Mosaic;Blaster;EPL;93,50
2024/25 Panini Prizm Premier League EPL Soccer Blaster (Pink Mosaic Prizms!);425,00;22,00;0,00;dacardworld;EUR;2024/2025;Panini;Mosaic;Blaster;EPL;93,50
2023 Topps Chrome MLS Major League Soccer 6-Pack Blaster;0,00;22,00;0,00;dacardworld;EUR;2023;Topps;Chrome;Blaster;MLS;93,50
Topps UEFA Club Competitions Flagship 2025/26 Spring Tin View now;0,00;94,90;0,00;sportscardsdirect;PLN;2025/2026;Topps;Club;Tin;UEFA;94,90
Topps UEFA Club Competitions Flagship 2025/26 Hanger Box View now;0,00;94,90;0,00;sportscardsdirect;PLN;2025/2026;Topps;Club;Hanger;UEFA;94,90
Topps RasenBallsport Leipzig Official 23/24 Fan Set View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;RB Lipsk;94,90
Topps RB Salzburg 2023/24 Fan Set View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Salzburg;94,90
Topps FC Red Bull Salzburg Team Set 2023 View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023;Topps;Team;Team Set;Salzburg;94,90
Topps Juventus Official Fan Set 23/24 View now;0,00;94,90;0,00;sportscardsdirect;PLN;2023/2024;Topps;Fan;Fan Set;Juventus;94,90
 2021/22 Panini Chronicles Soccer Multi Cello Pack ;0,00;22,90;0,00;taass;EUR;2021/2022;Panini;Inne;Inne;inne;97,32
 2021/22 Panini Mosaic Premier League EPL Soccer Hobby Booster Pack ;0,00;24,90;0,00;taass;EUR;2021/2022;Panini;Mosaic;Hobby;EPL;105,82
2025-26 Topps Collector Tin ñ Real Madrid;0,00;24,99;0,00;supercollectors;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;106,21
Topps Chrome - Premier League 25/26 Chrome Tin;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Chrome;Tin;EPL;106,21
Topps Collector Tin Liverpool 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Liverpool;106,21
Topps Collector Tin Juventus 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,21
Topps Collector Tin Manchester City 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Manchester City;106,21
Topps Collector Tin Celtic 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Celtic;106,21
Topps Collector Tin Manchester United 25/26;0,00;24,99;0,00;austriantradingcards;EUR;2025/2026;Topps;Fan;Tin;Manchester United;106,21
Topps Collector Tin Real Madrid 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Fan;Tin;Real Madrid;106,21
Topps Collector Tin Juventus 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,21
Topps Celtic Tin Collector 2025/26;0,00;24,99;0,00;sportcardscenter;EUR;2025/2026;Topps;Inne;Tin;Celtic;106,21
2025ñ26 Topps Chrome Premier League Hanger Tin;0,00;24,99;0,00;yocardo;EUR;2025;Topps;Chrome;Hanger;EPL;106,22
2025-26 Topps Juventus Turin Collector Tin;0,00;24,99;0,00;yocardo;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,22
2025-26 Topps Chrome Premier League ñ Tin;0,00;25,00;0,00;supercollectors;EUR;2025/2026;Topps;Chrome;Tin;EPL;106,25
Topps - Chrome Premier League - 2026 - Tin;0,00;25,00;0,00;mirabilia;EUR;2026;Topps;Chrome;Tin;EPL;106,25
Topps - Collector Tin Juventus - 25/26;0,00;25,00;0,00;mirabilia;EUR;2025/2026;Topps;Fan;Tin;Juventus;106,25
Topps - Collector Tin Liverpool - 25/26;0,00;25,00;0,00;mirabilia;EUR;2025/2026;Topps;Fan;Tin;Liverpool;106,25
2025-26 Topps Celtic FC Collector Tin;;109,00;;bigcards;PLN;2025/2026;Topps;Fan;Tin;Celtic;109,00
2024/25 Panini Prizm Premier League EPL Soccer Blaster Box;0,00;109,00;0,00;shaks;PLN;2024/2025;Panini;Prizm;Blaster;EPL;109,00
2026 Topps Chrome Premier League EPL Soccer Tin Box;0,00;25,84;0,00;underpaidcollectibles;EUR;2026;Topps;Chrome;Tin;EPL;109,82
2025-26 Topps Juventus Collector Tin;0,00;25,84;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Fan;Tin;Juventus;109,82
2025-26 Topps Manchester City Collectors Tin;0,00;25,84;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Fan;Tin;Manchester City;109,82
2025-26 Topps Celtic FC Collectors Tin;0,00;25,84;0,00;underpaidcollectibles;EUR;2025/2026;Topps;Fan;Tin;Celtic;109,82
2024-25 Panini Prizm English Premier League Soccer Hobby Pack;0,00;25,84;0,00;underpaidcollectibles;EUR;2024/2025;Panini;Prizm;Hobby;EPL;109,82
2025-26 Topps Soccer Juventus Collector Tin;0,00;110,00;0,00;dutchbreakers;PLN;2025/2026;Topps;Fan;Tin;Juventus;110,00
Adrenalyn XL FIFA World Cup 2026 Special Box;0,00;110,00;0,00;dutchbreakers;PLN;2026;Panini;adrenalyn;Inne;World Cup;110,00
2024-25 Topps Flagship UCC Soccer Hanger Box;0,00;110,00;0,00;qscards;PLN;2024/2025;Topps;Flagship;Hanger;UCC;110,00
2025 Panini Prizm FIFA Club World Cup Soccer 6-Pack Blaster;520,00;26,00;0,00;dacardworld;EUR;2025;Panini;Club;Blaster;Club World Cup;110,50
 2020/21 Panini Mosaic UEFA Euro 2020 Soccer Hobby Pack ;0,00;26,50;0,00;taass;EUR;2020/2021;Panini;Mosaic;Hobby;UEFA;112,62
 2024/25 Panini Prizm Premier League Soccer EPL Hobby Box ;0,00;26,90;0,00;taass;EUR;2024/2025;Panini;Prizm;Hobby;EPL;114,32
2025-26 Topps UCC Flagship Value Box (SEALED);0,00;27,99;0,00;pushdich;EUR;2025/2026;Topps;Flagship;Value;UCC;118,96
2021/22 Panini Mosaic Road to FIFA World Cup Soccer 6-Pack Blaster (Orange Fluorescent Parallels!);0,00;28,00;0,00;dacardworld;EUR;2021/2022;Panini;Mosaic;Blaster;World Cup;119,00
2023/24 Panini Prizm Copa America Soccer 6-Pack Blaster;0,00;28,00;0,00;dacardworld;EUR;2023/2024;Panini;Prizm;Blaster;Copa America;119,00
Topps - Flagship UEFA Club Competitions - 2025/26 - UCC Value Box;0,00;28,90;0,00;mirabilia;EUR;2025/2026;Topps;Club;Value;UEFA;122,82
Topps Manchester City FC 2024/25 Fan Set View now;0,00;126,10;0,00;sportscardsdirect;PLN;2024/2025;Topps;Fan;Fan Set;Manchester City;126,10
Topps FC Red Bull Salzburg 2024/25 Fan Set View now;0,00;126,10;0,00;sportscardsdirect;PLN;2024/2025;Topps;Fan;Fan Set;Salzburg;126,10
Topps Paris Saint-Germain 2024/25 Fan Set View now;0,00;126,10;0,00;sportscardsdirect;PLN;2024/2025;Topps;Fan;Fan Set;PSG;126,10
Topps Benfica 2024/25 Fan Set View now;0,00;126,10;0,00;sportscardsdirect;PLN;2024/2025;Topps;Fan;Fan Set;Benfica;126,10
2025-26 Topps UEFA Club Competitions - Value Box;0,00;127,00;0,00;shaks;PLN;2025/2026;Topps;Club;Value;UEFA;127,00
Topps Chrome MLS 2025 Value Box;0,00;127,00;0,00;dutchbreakers;PLN;2025;Topps;Chrome;Value;MLS;127,00
2025-2026 Topps Chrome Premier League Soccer Tin;0,00;127,00;0,00;qscards;PLN;2025/2026;Topps;Chrome;Tin;EPL;127,00
 2024/25 Topps Chelsea Football Club Official Fan-Set Hanger Box ;0,00;29,90;0,00;taass;EUR;2024/2025;Topps;Club;Hanger;Chelsea;127,07
 2021/22 Topps Borussia Dortmund Team-Set BVB Hanger Box ;0,00;29,90;0,00;taass;EUR;2021/2022;Topps;Inne;Hanger;Borussia Dortmund;127,07
Topps Chrome MLS Value Box 2025;0,00;29,99;0,00;austriantradingcards;EUR;2025;Topps;Chrome;Value;MLS;127,46
